DHI ALL SKY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBE,,,,,,,,,,,,,,,,,,,,,,,,,,MBE,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,McClear,SS,IP,BigaRosa,Brichambaut,Schulze,DPP,Bulger,Sharma,ElMghouchi,HLJ,FuRich,TJ,Kumar,Campbell,Samimi,Kasten,Dumortier,Modtran,ESRA,,,Station/Model,Site,Climate,National,McClear,SS,IP,BigaRosa,Brichambaut,Schulze,DPP,Bulger,Sharma,ElMghouchi,HLJ,FuRich,TJ,Kumar,Campbell,Samimi,Kasten,Dumortier,Modtran,ESRA
Cape Point,6.96,-4.09,-0.75,-0.05,18.33,19.14,12.85,18.64,-9.64,53.18,0.29,5.55,-44.65,8.67,37.26,-2.25,-23.49,24.65,-31.15,25.01,8.94,18.67,17.14,,,Cape Point,6.96,4.09,0.75,0.05,18.33,19.14,12.85,18.64,9.64,53.18,0.29,5.55,44.65,8.67,37.26,2.25,23.49,24.65,31.15,25.01,8.94,18.67,17.14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,10,12,17,21,15,19,13,61,10,11,47,17,59,8,27,24,27,39,18,25,21
rMBE,,,,,,,,,,,,,,,,,,,,,,,,,,rMBE,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,McClear,SS,IP,BigaRosa,Brichambaut,Schulze,DPP,Bulger,Sharma,ElMghouchi,HLJ,FuRich,TJ,Kumar,Campbell,Samimi,Kasten,Dumortier,Modtran,ESRA,,,Station/Model,Site,Climate,National,McClear,SS,IP,BigaRosa,Brichambaut,Schulze,DPP,Bulger,Sharma,ElMghouchi,HLJ,FuRich,TJ,Kumar,Campbell,Samimi,Kasten,Dumortier,Modtran,ESRA
Alexandra Bay,-0.6,-10.33,9.03,16.44,33.98,64.4,27.55,32.17,-4.43,95.34,9.01,16.35,-51.62,17.69,85.65,-1.58,-27.3,39.98,-26.83,90.25,58.66,85.86,68.85,,,Alexandra Bay,0.6,10.33,9.03,16.44,33.98,64.4,27.55,32.17,4.43,95.34,9.01,16.35,51.62,17.69,85.65,1.58,27.3,39.98,26.83,90.25,58.66,85.86,68.85
Upington,1,9.22,31.03,21.73,58.66,81.87,53.42,61.11,15.68,128.21,32.06,41.06,-41.58,16.07,126.79,24.19,-10,70.02,-10.42,141.29,73.66,99.67,86.41,,,Upington,1,9.22,31.03,21.73,58.66,81.87,53.42,61.11,15.68,128.21,32.06,41.06,41.58,16.07,126.79,24.19,10,70.02,10.42,141.29,73.66,99.67,86.41
De Aar,-3.75,-3.75,32.42,4.24,59.15,84.5,54.99,63.09,17,128.22,33.5,42.31,-40.96,4.88,135.41,24.53,-7.65,73.24,-7.01,136.69,64.37,86.72,77.6,,,De Aar,3.75,3.75,32.42,4.24,59.15,84.5,54.99,63.09,17,128.22,33.5,42.31,40.96,4.88,135.41,24.53,7.65,73.24,7.01,136.69,64.37,86.72,77.6
Bethlehem,-11.22,-11.22,-5.46,-18.8,11.46,-0.81,10.64,16.52,-16.43,59.62,-4.93,0.01,-57.97,-32.52,69.69,-1.91,-33.85,22.94,-32.83,5.24,-16.66,-13.43,-7.17,,,Bethlehem,11.22,11.22,5.46,18.8,11.46,0.81,10.64,16.52,16.43,59.62,4.93,0.01,57.97,32.52,69.69,1.91,33.85,22.94,32.83,5.24,16.66,13.43,7.17
Mahikeng,-4.31,5.47,-1,-9.49,17.42,20.05,15.86,21.1,-12.82,72.24,-0.71,4.95,-56.06,-23.23,80.04,0.36,-32.89,27.07,-29.9,44.96,5,15.62,15.12,,,Mahikeng,4.31,5.47,1,9.49,17.42,20.05,15.86,21.1,12.82,72.24,0.71,4.95,56.06,23.23,80.04,0.36,32.89,27.07,29.9,44.96,5,15.62,15.12
Irene,1.22,-5.76,-11.54,31.28,3.81,4.07,3.49,8.03,-22.17,52.35,-11.53,-7.33,-60.83,-35.54,62.31,-5.89,-39.89,13.28,-36.74,18.8,-11.74,-4.55,-2.73,,,Irene,1.22,5.76,11.54,31.28,3.81,4.07,3.49,8.03,22.17,52.35,11.53,7.33,60.83,35.54,62.31,5.89,39.89,13.28,36.74,18.8,11.74,4.55,2.73
Pretoria,0.51,-4.03,-10.08,35.07,5.79,5.89,5.18,9.49,-21.01,55.99,-10.21,-5.84,-60.2,-32.82,65.48,-5.48,-39.34,14.85,-35.7,23.24,-8.66,-0.5,0.5,,,Pretoria,0.51,4.03,10.08,35.07,5.79,5.89,5.18,9.49,21.01,55.99,10.21,5.84,60.2,32.82,65.48,5.48,39.34,14.85,35.7,23.24,8.66,0.5,0.5
