DNI ALL SKY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site2,Climate2,National2,SS,IP,BigaRosa,Brichambaut,Schulze,DPP,Meinel,Sharma,ElMghouchi,HLJ,FuRich,TJ,McClear,Ineichen,Site1,Climate1,National1,Laurie,Kasten,Kumar,Campbell,Samimi,ESRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upington,-8.18,-3.94,-0.79,-11.9,-16.27,-15.2,-17.05,-3.7,-8.44,-14.03,-13.8,-9.1,-13.13,-49.84,-10.68,-1.6,-16.93,-1.05,-4.18,-7.68,-6.94,-19.45,-4.54,-22.65,-7.11,-18.7,,Upington,8.18,3.94,0.79,11.9,16.27,15.2,17.05,3.7,8.44,14.03,13.8,9.1,13.13,49.84,10.68,1.6,16.93,1.05,4.18,7.68,6.94,19.45,4.54,22.65,7.11,18.7
De Aar,-0.22,-0.22,-1.63,-12.17,-11.69,-16.36,-17.86,-4.53,-9.24,-14.8,-14.63,-9.63,-8.91,-48.2,-10.92,1.62,-17.53,-0.34,-0.34,-8.35,-4.16,-16.33,-5.61,-23.45,-4.28,-16.81,,De Aar,0.22,0.22,1.63,12.17,11.69,16.36,17.86,4.53,9.24,14.8,14.63,9.63,8.91,48.2,10.92,1.62,17.53,0.34,0.34,8.35,4.16,16.33,5.61,23.45,4.28,16.81
Bethlehem,8.55,8.55,7.03,-4.99,8.65,-9.32,-10.67,3.83,-1,-8.28,-8.12,-3.11,2.07,-41.4,-6.66,8.81,-11,7.22,7.22,-1.42,6.57,3.76,1.56,-17.24,6.46,1.88,,Bethlehem,8.55,8.55,7.03,4.99,8.65,9.32,10.67,3.83,1,8.28,8.12,3.11,2.07,41.4,6.66,8.81,11,7.22,7.22,1.42,6.57,3.76,1.56,17.24,6.46,1.88
Mahikeng,1.76,0.31,2.16,-1.94,3.1,-5.93,-7.19,7.11,2.11,-4.74,-4.54,0.22,1.86,-40.48,-2.88,9.39,-7.6,2.07,0.72,1.82,6.79,-1.44,5.84,-13.38,6.66,-1.73,,Mahikeng,1.76,0.31,2.16,1.94,3.1,5.93,7.19,7.11,2.11,4.74,4.54,0.22,1.86,40.48,2.88,9.39,7.6,2.07,0.72,1.82,6.79,1.44,5.84,13.38,6.66,1.73
Irene,-0.42,1.83,3.75,-0.67,7.95,-4.92,-5.56,8.74,3.9,-3.67,-3.52,1.16,5.36,-37.86,-2.96,-3.21,-6.23,-0.38,1.63,2.78,9.71,2.96,6.95,-11.85,9.62,1.68,,Irene,0.42,1.83,3.75,0.67,7.95,4.92,5.56,8.74,3.9,3.67,3.52,1.16,5.36,37.86,2.96,3.21,6.23,0.38,1.63,2.78,9.71,2.96,6.95,11.85,9.62,1.68
Pretoria,-1.15,0.24,2.14,-2.1,5.2,-6.36,-6.77,7.03,2.35,-4.85,-4.71,-0.18,2.89,-38.85,-3.7,-5.31,-7.29,-1.26,0.14,1.28,7.19,0.64,5.73,-12.55,7.1,-0.27,,Pretoria,1.15,0.24,2.14,2.1,5.2,6.36,6.77,7.03,2.35,4.85,4.71,0.18,2.89,38.85,3.7,5.31,7.29,1.26,0.14,1.28,7.19,0.64,5.73,12.55,7.1,0.27
Thohoyandou,-0.87,-2.5,6.58,1.78,-0.64,-2,-2.06,11.65,6.8,0.07,0.21,4.62,-1.77,-39.81,2.01,6.58,-2.42,-0.59,-2.1,5.94,5.53,-3.02,11.46,-7.26,5.44,-1.92,,Thohoyandou,0.87,2.5,6.58,1.78,0.64,2,2.06,11.65,6.8,0.07,0.21,4.62,1.77,39.81,2.01,6.58,2.42,0.59,2.1,5.94,5.53,3.02,11.46,7.26,5.44,1.92
Nelspruit,0.53,2.07,11.84,5.98,6.99,2.48,1.7,17.22,12.04,3.72,3.89,8.87,5.32,-38.01,4.41,12.04,0.94,0.74,2.12,10.72,11.98,3.55,15.15,-5.17,11.87,4.06,,Nelspruit,0.53,2.07,11.84,5.98,6.99,2.48,1.7,17.22,12.04,3.72,3.89,8.87,5.32,38.01,4.41,12.04,0.94,0.74,2.12,10.72,11.98,3.55,15.15,5.17,11.87,4.06
Durban,-1.12,6.2,15.03,9.29,7.15,5.47,5.44,20.5,15.44,8.27,8.42,13.42,-3.33,-39.28,11.44,8.24,5.68,-0.85,6.33,14.77,9.13,6.8,20.48,0.3,9.02,9.48,,Durban,1.12,6.2,15.03,9.29,7.15,5.47,5.44,20.5,15.44,8.27,8.42,13.42,3.33,39.28,11.44,8.24,5.68,0.85,6.33,14.77,9.13,6.8,20.48,0.3,9.02,9.48
Mthatha,1.49,-5.44,2.16,-3.71,4.2,-6.84,-8.29,7.15,2.22,-5.74,-5.6,-0.1,-6.2,-47.11,-4.11,4.53,-8.48,1.35,-5.41,1.71,1.08,1.79,4.12,-15.36,0.96,2.26,,Mthatha,1.49,5.44,2.16,3.71,4.2,6.84,8.29,7.15,2.22,5.74,5.6,0.1,6.2,47.11,4.11,4.53,8.48,1.35,5.41,1.71,1.08,1.79,4.12,15.36,0.96,2.26
George,-0.85,1.61,0.93,-3.86,-8.48,-7.47,-8.54,5.82,0.9,-5.1,-4.95,0.44,-14.31,-48.58,-0.41,5.39,-7.82,-0.82,1.41,1.67,-3.39,-9.22,5.21,-13.89,-3.52,-7.32,,George,0.85,1.61,0.93,3.86,8.48,7.47,8.54,5.82,0.9,5.1,4.95,0.44,14.31,48.58,0.41,5.39,7.82,0.82,1.41,1.67,3.39,9.22,5.21,13.89,3.52,7.32
Stellenboch,-0.82,-0.69,-1.39,-4.76,-8.64,-9.21,-9.57,3.32,-1.39,-5.8,-5.66,-0.74,-15.61,-47.11,0.44,-0.25,-8.3,-0.73,-0.32,-0.06,-4.81,-9.06,4.85,-13.17,-5.93,-6.8,,Stellenboch,0.82,0.69,1.39,4.76,8.64,9.21,9.57,3.32,1.39,5.8,5.66,0.74,15.61,47.11,0.44,0.25,8.3,0.73,0.32,0.06,4.81,9.06,4.85,13.17,5.93,6.8
Cape Point,-1.96,-8.12,-8.68,-14.02,-15.4,-16,-18.35,-4.14,-9.04,-15.25,-15.04,-9.75,-25.94,-56.86,-12.37,-7.36,-18.27,-1.57,-8.39,-8.17,-14.5,-15.7,-6.29,-24.93,-14.69,-13.44,,Cape Point,1.96,8.12,8.68,14.02,15.4,16,18.35,4.14,9.04,15.25,15.04,9.75,25.94,56.86,12.37,7.36,18.27,1.57,8.39,8.17,14.5,15.7,6.29,24.93,14.69,13.44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,5,6,9,8,9,8,6,7,7,5,9,44,6,5,9,2,3,5,7,8,7,14,7,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site2,Climate2,National2,SS,IP,BigaRosa,Brichambaut,Schulze,DPP,Meinel,Sharma,ElMghouchi,HLJ,FuRich,TJ,McClear,Ineichen,Site1,Climate1,National1,Laurie,Kasten,Kumar,Campbell,Samimi,ESRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandra Bay,69.44,62.71,71.81,95.94,182.94,120.23,125.85,64.03,72.66,103.68,102.69,74.97,179.5,457.89,105.32,46.53,123.2,71.64,64.55,70.68,95.52,187.86,83.89,175.27,96.39,172.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upington,104.43,80.95,72.95,130.58,179.15,156.35,178.49,78.18,107.69,149.83,147.33,108.34,143.98,478.63,138.5,57.95,178.99,67.25,76.69,96.51,92.62,206.54,101.55,243.14,94.28,196.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
