DNI ALL SKY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site2,Climate2,National2,SS,IP,BigaRosa,Brichambaut,Schulze,DPP,Meinel,Sharma,ElMghouchi,HLJ,FuRich,TJ,McClear,Ineichen,Site1,Climate1,National1,Laurie,Kasten,Kumar,Campbell,Samimi,ESRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durban,68.13,75.3,118.76,87.4,75.9,68.74,70.35,158.79,121.85,82.68,83.41,110.27,74.84,312.24,113.78,84.58,73.44,67.43,75,118.1,86.66,74.65,161.03,79.61,86.2,87.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mthatha,51.81,72.17,52.27,61.76,68.31,77.13,86.02,67.03,53.13,71.16,70.49,51.07,74.47,398.87,79.61,48.79,86.97,49.49,70.36,49.7,49.82,66.57,68.47,138.54,50.01,64.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George,42.08,40.19,40.81,55.99,84.33,77.2,83.94,55.05,41.37,62.41,61.68,43.25,129.39,419.86,77.85,56.02,79.66,43.78,42.09,42,53.87,89.54,72.64,128.88,54.49,76.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stellenboch,42.46,42.61,45.22,63.31,90.64,92.15,95.66,42.93,45.84,69.87,69.02,45.46,144.92,422.71,75.05,35.58,87.08,43.98,43.74,43.06,63.68,93.78,75.03,128.16,70.71,77.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Point,54.61,94.07,98.45,142.57,155,158.74,179.72,65.85,101.64,153.12,151.26,108.09,246.19,527.8,137.69,81.66,179.39,57.86,97.08,95.43,146.79,157.61,93.2,238.17,148.42,138.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rMAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site2,Climate2,National2,SS,IP,BigaRosa,Brichambaut,Schulze,DPP,Meinel,Sharma,ElMghouchi,HLJ,FuRich,TJ,McClear,Ineichen,Site1,Climate1,National1,Laurie,Kasten,Kumar,Campbell,Samimi,ESRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandra Bay,6,4.68,6.29,8.92,18.95,12.14,12.52,4.82,6.34,9.8,9.68,6.56,18.3,48.73,9.24,3.31,11.97,6.23,4.99,6.09,8.85,19.49,7.05,16.54,8.94,17.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upington,9.8,6.98,5.72,12.71,17.02,15.76,17.58,6.86,10.08,14.68,14.46,10.3,13.88,49.85,11.97,4.02,17.44,5.32,6.73,9.2,8.56,19.93,8.28,23.01,8.7,19.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De Aar,5.2,5.2,5.8,13.57,13.56,17.47,18.94,7.54,11.17,16.01,15.86,11.3,10.72,48.47,12.62,3.53,18.6,5.04,5.04,10.24,6.92,17.65,9.15,24.33,7.01,18.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bethlehem,9.51,9.51,8.75,11,9.89,13.41,14.49,7.76,8.5,13.08,12.99,9.98,8.66,42.08,14.08,9.16,15.04,9.07,9.07,9.02,8.89,8.21,10.32,20.52,8.86,8.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahikeng,7.56,7.61,7.62,9.14,8.45,9.91,11.32,9.04,7.81,10.29,10.19,8.44,8.74,40.58,12.41,9.88,11.93,7.85,7.89,7.86,9.28,8.73,11.18,16.84,9.26,8.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irene,8.55,8.55,8.77,8.25,10.16,9.51,10.14,10.66,8.97,9.13,9.07,8,8.82,37.87,9.84,7.1,10.44,8.18,8.09,8.16,10.71,8.4,10.45,14.78,10.66,8.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pretoria,8.38,8.32,8.35,8.08,8.74,9.9,10.39,9.75,8.55,9.16,9.1,7.69,7.98,38.88,9.62,7.82,10.59,7.94,7.82,7.78,9.24,7.8,9.64,14.94,9.2,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thohoyandou,7.09,7.51,8.29,6.54,6.26,7.15,7.42,11.9,8.54,6.66,6.65,7.13,7.19,39.89,8.9,7.33,7.32,6.75,7.14,7.72,7.42,7.02,12.31,10.64,7.38,6.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nelspruit,7.61,7.71,12.65,8.44,9,7.44,7.89,17.36,12.97,7.75,7.78,9.98,8.5,38.03,9.18,12.96,7.65,7.1,7.18,11.4,12.56,7.44,16.07,10.51,12.48,7.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durban,8.8,9.73,15.35,11.29,9.81,8.88,9.09,20.52,15.74,10.68,10.78,12.25,9.67,40.35,14.7,10.93,9.49,8.71,9.69,15.26,11.2,9.65,20.81,10.29,11.14,11.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mthatha,6.12,8.53,6.18,7.3,8.07,9.11,10.16,7.92,6.28,8.41,8.33,6.03,8.8,47.12,9.4,5.76,10.28,5.85,8.31,5.87,5.89,7.86,8.09,16.37,5.91,7.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George,4.87,4.65,4.73,6.48,9.76,8.94,9.72,6.38,4.79,7.23,7.14,5.01,14.98,48.62,9.02,6.49,9.22,5.07,4.87,4.86,6.24,10.37,8.41,14.92,6.31,8.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stellenboch,4.73,4.75,5.04,7.06,10.1,10.27,10.66,4.79,5.11,7.79,7.69,5.07,16.16,47.12,8.37,3.97,9.71,4.9,4.88,4.8,7.1,10.46,8.36,14.29,7.88,8.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Point,5.89,10.14,10.62,15.37,16.71,17.11,19.38,7.1,10.96,16.51,16.31,11.65,26.54,56.9,14.84,8.8,19.34,6.24,10.47,10.29,15.83,16.99,10.05,25.68,16,14.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,7,8,10,11,11,12,9,9,11,10,9,12,45,11,7,12,7,7,8,9,11,11,17,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site2,Climate2,National2,SS,IP,BigaRosa,Brichambaut,Schulze,DPP,Meinel,Sharma,ElMghouchi,HLJ,FuRich,TJ,McClear,Ineichen,Site1,Climate1,National1,Laurie,Kasten,Kumar,Campbell,Samimi,ESRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandra Bay,0.52,0.61,0.49,0.09,-2.3,-0.42,-0.56,0.6,0.48,-0.06,-0.04,0.45,-2.18,-19.67,-0.09,0.79,-0.5,0.49,0.59,0.51,0.1,-2.48,0.31,-2.03,0.08,-1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upington,0.26,0.56,0.64,-0.15,-1.17,-0.65,-1.15,0.59,0.22,-0.52,-0.46,0.21,-0.4,-14.46,-0.29,0.77,-1.16,0.7,0.6,0.37,0.42,-1.88,0.3,-2.99,0.4,-1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De Aar,0.53,0.53,0.51,-0.42,-0.51,-1.14,-1.56,0.4,-0.03,-0.9,-0.86,-0.04,-0.02,-14.78,-0.56,0.63,-1.53,0.56,0.56,0.12,0.44,-1.4,0.06,-3.56,0.43,-1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bethlehem,-0.04,-0.04,0.08,0.05,-0.04,-0.14,-0.38,0.27,0.34,-0.19,-0.18,0.16,0.16,-9.11,-0.51,0.05,-0.5,-0.02,-0.02,0.26,0,0.25,-0.09,-1.83,0.01,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahikeng,0.4,0.42,0.38,0.25,0.25,0.21,-0.1,0.11,0.35,0.09,0.11,0.3,0.21,-9.99,-0.29,0.14,-0.22,0.36,0.38,0.36,0.06,0.24,-0.27,-1.5,0.06,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irene,0.34,0.32,0.26,0.37,0.04,0.24,0.12,-0.11,0.23,0.27,0.28,0.39,0.19,-8.56,0.16,0.55,0.08,0.39,0.38,0.35,-0.15,0.35,-0.1,-0.86,-0.14,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pretoria,0.31,0.31,0.29,0.33,0.22,0.09,-0.02,0,0.25,0.19,0.2,0.38,0.29,-9.85,0.12,0.4,-0.04,0.37,0.37,0.37,0.05,0.38,-0.03,-1.04,0.06,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thohoyandou,0.42,0.39,0.12,0.44,0.49,0.43,0.38,-0.51,0.08,0.45,0.45,0.32,0.4,-10.89,0.17,0.4,0.39,0.46,0.43,0.21,0.26,0.42,-0.61,-0.25,0.27,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nelspruit,0.42,0.39,-0.42,0.24,0.22,0.42,0.34,-1.37,-0.48,0.34,0.34,0.01,0.23,-8.75,0.14,-0.37,0.36,0.48,0.45,-0.21,-0.39,0.42,-1.14,-0.2,-0.38,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durban,0.22,0.03,-0.8,-0.23,-0.01,0.1,0.07,-1.68,-0.87,-0.15,-0.16,-0.64,0.06,-7.13,-0.86,-0.11,0.01,0.2,0.01,-0.79,-0.21,0.01,-1.88,-0.07,-0.21,-0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mthatha,0.53,0.31,0.51,0.46,0.2,0.24,0.04,0.19,0.49,0.31,0.33,0.58,0.24,-15.45,0.1,0.61,0,0.57,0.34,0.56,0.57,0.27,0.23,-1.55,0.57,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George,0.67,0.65,0.65,0.5,0.05,0.26,0.09,0.41,0.65,0.41,0.42,0.63,-0.99,-17.09,0.09,0.48,0.12,0.65,0.63,0.62,0.52,-0.05,0.15,-1.34,0.51,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stellenboch,0.61,0.6,0.58,0.3,-0.2,-0.18,-0.35,0.5,0.57,0.18,0.19,0.56,-1.96,-21.3,-0.08,0.7,-0.2,0.59,0.58,0.59,0.29,-0.28,-0.06,-1.8,0.16,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Point,0.57,0.22,0.17,-0.59,-0.8,-0.82,-1.41,0.49,0.1,-0.83,-0.78,-0.02,-3.42,-18.06,-0.85,0.36,-1.51,0.55,0.17,0.19,-0.7,-0.85,0.02,-3.63,-0.74,-0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
